iata,name,city,country,lat,lon
LUQ,Brigadier Mayor D Cesar Raul Ojeda Airport,San Luis,AR,-33.273201,-66.3564
LUR,Cape Lisburne LRRS Airport,Cape Lisburne,US,68.875099,-166.110001
LUV,Karel Sadsuitubun Airport,Langgur,ID,-5.760278,132.759444
LUX,Luxembourg-Findel International Airport,Luxembourg,LU,49.626845,6.212134
LUZ,Lublin Airport,Lublin,PL,51.240157,22.713461
LVI,Harry Mwanga Nkumbula International Airport,Livingstone,ZM,-17.821524,25.819642
LVO,Laverton Airport,Laverton,AU,-28.614267,122.428673
LWB,Greenbrier Valley Airport,Lewisburg,US,37.857914,-80.400438
LWK,Lerwick / Tingwall Airport,"Lerwick, Shetland Islands",GB,60.1922,-1.24361
LWN,Shirak International Airport,Gyumri,AM,40.750401,43.859299
LWO,Lviv International Airport,Lviv,UA,49.8125,23.9561
LWS,Lewiston Nez Perce County Airport,Lewiston,US,46.3745002746582,-117.01499938964844
LWY,Lawas Airport,Lawas,MY,4.84917,115.407997
LXA,Lhasa Gonggar International Airport,Shannan (Gonggar),CN,29.298001,90.911951
LXG,Luang Namtha Airport,Luang Namtha,LA,20.966999,101.400002
LXR,Luxor International Airport,Luxor,EG,25.671018,32.706446
LXS,Limnos Airport,Limnos Island,GR,39.917098999,25.236299514799995
LYA,Luoyang Beijiao Airport,Luoyang (Laocheng),CN,34.7411,112.388
LYC,Lycksele Airport,Lycksele,SE,64.548302,18.7162
LYG,Lianyungang Huaguoshan International Airport,Lianyungang,CN,34.41406,119.17899
LYH,Lynchburg Regional Airport - Preston Glenn Field,Lynchburg,US,37.326698,-79.200401
LYI,Linyi Qiyang Airport,Linyi (Hedong),CN,35.052918,118.411828
LYP,Faisalabad International Airport,Faisalabad,PK,31.364923,72.995319
LYR,Svalbard Airport,Longyearbyen,NO,78.246101,15.4656
LYS,Lyon Saint-Exupéry Airport,"Colombier-Saugnieu, Rhône",FR,45.725996,5.090139
LZG,Langzhong Gucheng Airport,Nanchong (Langzhong),CN,31.50191,106.034417
LZH,Liuzhou Bailian Airport / Bailian Air Base,Liuzhou (Liujiang),CN,24.2075,109.390999
LZN,Matsu Nangan Airport,Matsu (Nangan),TW,26.159656,119.958376
LZO,Luzhou Yunlong Airport,Luzhou (Yunlong),CN,29.030357,105.468407
LZY,Nyingchi Mainling Airport,Nyingchi (Mainling),CN,29.303301,94.335297
MAA,Chennai International Airport,Chennai,IN,12.990005,80.169296
MAB,João Correa da Rocha Airport,Marabá,BR,-5.36859,-49.138
MAD,Adolfo Suárez Madrid–Barajas Airport,Madrid,ES,40.493407,-3.572249
MAF,Midland International Air and Space Port,Midland,US,31.942499,-102.202003
MAG,Madang Airport,Madang,PG,-5.20707988739,145.789001465
MAH,Menorca Airport,Mahón (Maó),ES,39.862598,4.21865
MAJ,Marshall Islands International Airport,Majuro Atoll,MH,7.06511,171.271656
MAK,Malakal International Airport,Malakal,SS,9.558739,31.651937
MAM,General Servando Canales International Airport,Matamoros,MX,25.7698993683,-97.5252990723
MAN,Manchester Airport,"Manchester, Greater Manchester",GB,53.349375,-2.279521
MAO,Eduardo Gomes International Airport,Manaus,BR,-3.03861,-60.049702
MAQ,Mae Sot Airport,,TH,16.699899673461914,98.54509735107422
MAR,La Chinita International Airport,Maracaibo,VE,10.557542,-71.729307
MAS,Momote Airport,Manus Island,PG,-2.06189,147.423996
MAU,Maupiti Airport,,PF,-16.42650032043457,-152.24400329589844
MAZ,Eugenio Maria De Hostos Airport,Mayaguez,PR,18.255699157714844,-67.14849853515625
MBA,Moi International Airport,Mombasa,KE,-4.03483,39.5942
MBD,Mmabatho International Airport,Mafeking,ZA,-25.798400878900004,25.548000335699996
MBE,Monbetsu Airport,Monbetsu,JP,44.303901672399995,143.404006958
MBI,Songwe Airport,Mbeya,TZ,-8.919942,33.273981
MBJ,Sangster International Airport,Montego Bay,JM,18.50342,-77.91323
MBL,Manistee County Blacker Airport,Manistee,US,44.272707,-86.246495
MBS,MBS International Airport,Freeland,US,43.533181,-84.083104
MBT,Moises R. Espinosa Airport,Masbate,PH,12.369682,123.630095
MBW,Melbourne Moorabbin Airport,Melbourne,AU,-37.977765,145.099799
MBX,Maribor Edvard Rusjan Airport,Maribor,SI,46.4799,15.6861
MCE,Merced Regional Macready Field,Merced,US,37.284698,-120.514
MCG,McGrath Airport,McGrath,US,62.95289993,-155.6060028
MCI,Kansas City International Airport,Kansas City,US,39.2976,-94.713898
MCK,McCook Ben Nelson Regional Airport,McCook,US,40.207787,-100.592794
MCN,Middle Georgia Regional Airport,Macon,US,32.69279861450195,-83.64920043945312
MCO,Orlando International Airport,Orlando,US,28.429399490356445,-81.30899810791016
MCP,Macapá - Alberto Alcolumbre International Airport,Macapá,BR,0.050664,-51.072201
MCT,Muscat International Airport,Muscat/Seeb,OM,23.600218,58.285268
MCV,McArthur River Mine Airport,McArthur River Mine,AU,-16.4424991608,136.083999634
MCW,Mason City Municipal Airport,Mason City,US,43.159801,-93.329716
MCX,Makhachkala Uytash International Airport,Makhachkala,RU,42.816799,47.652302
MCY,Sunshine Coast Airport,Maroochydore,AU,-26.593324,153.08319
MCZ,Zumbi dos Palmares International Airport,Maceió,BR,-9.512559,-35.791839
MDC,Sam Ratulangi International Airport,Manado,ID,1.548591,124.92625
MDE,Jose Maria Córdova International Airport,Medellín,CO,6.16454,-75.4231
MDG,Mudanjiang Hailang International Airport,Mudanjiang,CN,44.525172,129.568634
MDI,Makurdi Airport,Makurdi,NG,7.70388,8.61394
MDK,Mbandaka Airport,Mbandaka,CD,0.0226000007242,18.2887001038
MDL,Mandalay International Airport,Mandalay,MM,21.70219993591309,95.97789764404295
MDQ,Ástor Piazzola International Airport,Mar del Plata,AR,-37.9342,-57.5733
MDT,Harrisburg International Airport,Harrisburg,US,40.192838,-76.762333
MDU,Mendi Airport,Mendi,PG,-6.14774,143.656998
MDW,Chicago Midway International Airport,Chicago,US,41.785999,-87.752403
MDZ,Governor Francisco Gabrielli International Airport,Mendoza,AR,-32.831699,-68.7929
MEB,Melbourne Essendon Airport,Essendon Fields,AU,-37.7281,144.901993
MEC,Eloy Alfaro International Airport,Manta,EC,-0.9460780024528505,-80.67880249023438
MED,Prince Mohammad Bin Abdulaziz Airport,Medina,SA,24.5534,39.705101
MEE,Maré Airport,Maré,NC,-21.482438,168.038465
MEG,Malanje Airport,Malanje,AO,-9.525090217590332,16.312400817871094
MEH,Mehamn Airport,Mehamn,NO,71.029701,27.8267
MEI,Key Field / Meridian Regional Airport,Meridian,US,32.3326,-88.7519
MEL,Melbourne Airport,Melbourne,AU,-37.670732,144.837898
MEM,Memphis International Airport,Memphis,US,35.043845,-89.97634
MEQ,Cut Nyak Dhien Airport,Kuala Pesisir,ID,4.040998,96.253312
MEX,Benito Juárez International Airport,Ciudad de México,MX,19.435137,-99.071328
MFA,Mafia Airport,Kilindoni,TZ,-7.917478,39.668502
MFE,McAllen Miller International Airport,McAllen,US,26.176141,-98.237965
MFG,Muzaffarabad Airport,Muzaffarabad,PK,34.338835,73.508886
MFJ,Moala Airport,Moala,FJ,-18.5666999817,179.951004028
MFK,Matsu Beigan Airport,Matsu (Beigan),TW,26.224199,120.002998
MFM,Macau International Airport,Nossa Senhora do Carmo,MO,22.149599,113.592003
MFR,Rogue Valley International-Medford Airport,Medford,US,42.374199,-122.873001
MFU,Mfuwe Airport,Mfuwe,ZM,-13.258899688720703,31.936599731445312
MGA,Augusto C. Sandino (Managua) International Airport,Managua,NI,12.1415,-86.168198
MGB,Mount Gambier Airport,Mount Gambier,AU,-37.744382,140.780561
MGC,Michigan City Municipal Airport,Michigan City,US,41.7033,-86.821198
MGF,Regional de Maringá - Sílvio Name Júnior Airport,Maringá,BR,-23.47606,-52.016187
